match,week,team,opponent,Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:03:02,17,66 Jess Brand,0,0,0,0,0.83502537,0.5006254
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:04:31,17,11 Sara Liang,0,0,0,0,0.13113368,0.44871795
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:05:22,17,04 Raha Mozaffari,0,0,0,0,0.6404399,0.7157599
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:25:29,17,11 Sara Liang,0,0,0,0,0.7639594,0.6300813
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:26:26,17,13 Kat Harper,0,0,0,0,0.72165823,0.38805503
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:27:29,17,15 Layne Dodge,0,0,0,0,0.57106596,0.6694809
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:59:37,19,01 Emily Shields,1,0,0,0,0.17174281,0.9021263
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 11:05:21,21,24 Casey Gorman,0,0,0,0,0.78087986,0.36053783
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 11:11:55,23,20 Danielle Walsh,0,0,0,0,0.17174281,0.7995622
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 11:13:59,23,23 Natalie Bova,1,0,0,0,0.6725888,0.8833646
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 11:21:27,24,05 Lindsay McKenna,0,0,0,0,0.9145516,0.40494058
NASH @ DC,Week 2,DC,NASH,2024-04-14 10:23:36,3,15 Florence Brooks,0,0,0,0,0.8847223,0.4092593
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:01:54,8,37 Claire Trop,0,0,0,0,0.3375,0.51358026
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:10:24,9,26 Jessica Sourbeer,0,0,0,0,0.49583334,0.491358
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:14:56,10,66 Jackie Wang,0,0,0,0,0.63611114,0.6067901
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:23:43,12,26 Jessica Sourbeer,0,0,0,0,0.5180556,0.32592595
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:36:52,14,23 Lisa Dang,0,0,0,0,0.3652778,0.52160496
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:56:49,15,24 Jamie Eriksson,0,0,0,0,0.49583334,0.55493826
NASH @ DC,Week 2,DC,NASH,2024-04-14 11:59:26,16,37 Claire Trop,0,0,0,0,0.8625,0.48271605
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:03:26,17,05 Marie Perivier,0,0,0,0,0.5027778,0.76913583
