match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:14:45,19,1,1,0,0.49031812,0.66472036,07 Shiru Liu,2,NA,NA,NA,69 Jaime Estes,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:16:51,20,1,1,1,0.87344396,0.6985249,26 Amy Broome,5,88 Maddy Easton,73 Clara Stewart,03 Madi Cannon,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:20:34,21,1,0,1,0.98547715,0.56269205,12 Annie Ortiz,8,12 Annie Ortiz,95 Megan Mendieta,16 Kinsey Neas,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:25:00,23,1,1,1,0.97441214,0.6628765,26 Amy Broome,4,88 Maddy Easton,69 Jaime Estes,71 Wren Vogel,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:31:34,25,1,1,1,0.9190871,0.4889367,42 Meg Duffy,2,42 Meg Duffy,69 Jaime Estes,22 Sydney Loughran,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:34:56,26,1,0,0,0.78769016,0.7089736,26 Amy Broome,4,NA,NA,NA,71 Wren Vogel,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:37:44,26,2,0,1,0.22475795,0.23448063,02 Elise Bjork,1,NA,02 Elise Bjork,42 Meg Duffy,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:38:55,27,1,0,0,0.17081605,0.81591886,27 Jocelyn Jessop,6,NA,NA,NA,15 Elise Franke,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:40:51,27,2,0,0,0.21784233,0.8073141,05 Dre Esparza,4,NA,NA,NA,95 Megan Mendieta,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 17:38,1,1,1,1,0.52361107,0.6932099,36 Carolyn Normile,11,37 Claire Trop,36 Carolyn Normile,19 Allie Wallace,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 17:48,2,1,0,1,0.24861106,0.71358025,09 Annalise Peters,2,09 Annalise Peters,46 Graham Cunningham,07 Kami Groom,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 17:53,3,1,0,0,0.75555557,0.6148148,66 Jackie Wang,1,NA,NA,NA,66 Jackie Wang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 17:55,3,2,0,1,0.7902778,0.31358024,66 Jackie Wang,9,07 Kami Groom,01 Ashleigh Jentilet,22 Erin McCann,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:00,4,1,0,1,0.7402777,0.80370367,09 Annalise Peters,8,07 Kami Groom,01 Ashleigh Jentilet,07 Kami Groom,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:05,5,1,0,0,0.84722227,0.80987656,16 Margaret Walker,1,NA,NA,NA,16 Margaret Walker,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:06,5,2,0,0,0.2625,0.8135803,05 Marie Perivier,1,NA,NA,NA,05 Marie Perivier,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:07,5,3,0,0,0.5,0.80987656,23 Lisa Dang,2,NA,NA,NA,36 Carolyn Normile,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:09,5,4,0,0,0.84583336,0.7407408,16 Margaret Walker,2,NA,NA,NA,37 Claire Trop,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:31,7,1,1,0,0.11666667,0.69876546,13 Sami Smalling,9,NA,NA,NA,12 Clare Frantz,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:35,7,2,1,0,0.6430556,0.7111111,36 Carolyn Normile,12,NA,NA,NA,23 Lisa Dang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:38,7,3,1,0,0.50416666,0.732716,23 Lisa Dang,1,NA,NA,NA,23 Lisa Dang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:38,7,4,1,1,0.84722227,0.7308642,23 Lisa Dang,7,12 Clare Frantz,13 Sami Smalling,12 Clare Frantz,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:42,8,1,0,0,0.8736111,0.46296296,66 Jackie Wang,5,NA,NA,NA,37 Claire Trop,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:43,8,2,0,0,0.5222222,0.48518518,66 Jackie Wang,4,NA,NA,NA,24 Jamie Eriksson,15 Florence Brooks,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:45,8,3,0,0,0.79583335,0.5462963,01 Ashleigh Jentilet,1,NA,NA,NA,01 Ashleigh Jentilet,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:50,10,1,1,0,0.49722221,0.73888886,36 Carolyn Normile,3,NA,NA,NA,23 Lisa Dang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:51,10,2,1,0,0.17361107,0.7882716,36 Carolyn Normile,2,NA,NA,NA,23 Lisa Dang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:54,11,1,1,0,0.4902778,0.6092593,09 Annalise Peters,3,NA,NA,NA,37 Claire Trop,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:56,11,2,1,0,0.1305556,0.5277778,66 Jackie Wang,2,NA,NA,NA,09 Annalise Peters,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:57,11,3,1,0,0.2555556,0.6006173,09 Annalise Peters,7,NA,NA,NA,09 Annalise Peters,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:07,12,1,1,0,0.48194447,0.7777778,36 Carolyn Normile,6,NA,NA,NA,37 Claire Trop,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:09,12,2,1,0,0.38333333,0.65925926,16 Margaret Walker,9,NA,NA,NA,08 Kathryn Ritzman,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:11,12,3,1,0,0.73194444,0.7160494,36 Carolyn Normile,1,NA,NA,NA,36 Carolyn Normile,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:12,12,4,1,0,0.23472227,0.7882716,36 Carolyn Normile,4,NA,NA,NA,23 Lisa Dang,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:14,12,5,1,0,0.5013889,0.6314815,37 Claire Trop,4,NA,NA,NA,16 Margaret Walker,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:16,12,6,1,1,0.2277778,0.80493826,16 Margaret Walker,11,12 Clare Frantz,19 Allie Wallace,37 Claire Trop,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:21,13,1,0,1,0.50416666,0.7962963,09 Annalise Peters,3,24 Jamie Eriksson,01 Ashleigh Jentilet,15 Florence Brooks,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:25,14,1,0,1,0.62361115,0.79444444,66 Jackie Wang,14,22 Erin McCann,01 Ashleigh Jentilet,04 Ellen Mueller,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:32,15,1,0,0,0.52361107,0.7796296,01 Ashleigh Jentilet,5,NA,NA,NA,07 Kami Groom,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 19:34,15,2,0,0,0.79583335,0.3574074,15 Florence Brooks,5,NA,NA,NA,07 Kami Groom,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 21:39,16,1,0,0,0.90972227,0.8117284,09 Annalise Peters,6,NA,NA,NA,09 Annalise Peters,NA,NA
